# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 4.200000000000000000e+02 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 4.020000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 3.990000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 2.037000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 4.080000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 3.210000000000000000e+02 5.910000000000000000e+02 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.262544101429789180e+03 -1.305374276139498988e+03 -6.639822905945453385e+03 -1.459744945184598919e+03 -2.221616135342875168e+03 -6.608509428475678760e+03 -3.718739818874261346e+03 -8.048452244802524547e+03 -2.436101158177729303e+03 -1.356458742324916057e+04 -7.418232553999167067e+03 -1.055201261790162062e+04 -4.081390571790168906e+03 -7.459964661506888660e+03 -3.129658900974339758e+03 -1.321058789193963548e+03 -1.586693752632072574e+04 -1.953769760856491303e+03 -2.987840863348151470e+04 -2.125682702310907644e+03 -1.549083454712255616e+03 -1.304520645706691539e+03 -1.867139884077106217e+03 -2.094388129571389436e+04 -1.499732187777234503e+04 -6.592981076659116297e+03 -8.002729006512133310e+03 -1.467563738599535782e+03 -2.158749341057520724e+04 -2.368010927495088981e+04 -9.583399546536329581e+03 -1.329544482615883908e+03 -2.121683401016568951e+03 -2.114961473027490229e+03 -1.990212560668208243e+04 -9.162085778068729269e+03
2.983618405175494370e-01 3.130317529022217382e-01 2.430599875418329170e-01 2.826103388634115254e-01 2.677427564889978129e-01 2.659648463225576243e-01 3.199941858863223354e-01 2.600729146900438993e-01 2.663587365201894319e-01 2.782733170588474469e-01 2.845670471041856775e-01 2.638011905503460097e-01 2.621965674680203362e-01 2.853183122064932853e-01 3.219044496753205031e-01 2.784754821312829254e-01 2.719360742549822296e-01 2.922919515659976319e-01 3.364547013384700525e-01 3.027224562068108749e-01 2.818205991806482791e-01 2.896177947789475016e-01 2.810584988811734020e-01 2.927592490597084041e-01 2.599078514658586525e-01 3.232953568292890600e-01 2.881329683178734946e-01 2.373908508712183618e-01 2.520070854397826743e-01 2.977051232323733032e-01 2.587615218268475847e-01 2.842897369683636821e-01 3.011728850970508131e-01 2.743871967380333565e-01 3.150785259892809886e-01 2.657193521567958183e-01
2.083385004278951180e-01 2.601451921837457104e-01 2.487170541282642533e-01 2.357945069861945853e-01 2.374155063604517502e-01 2.393453682132661853e-01 2.346643861014692800e-01 1.909002907848515174e-01 2.351272054236810682e-01 2.522598493166028910e-01 2.350686129279271619e-01 2.257962746087661121e-01 2.629578809966416908e-01 2.167697233518115774e-01 2.452036617017541997e-01 2.316640872854705824e-01 2.478337986536613136e-01 2.557297425233872046e-01 1.916071162209846135e-01 2.278208692918606559e-01 2.391341166994034040e-01 2.322553027205593035e-01 2.429477802589103674e-01 2.282175475603282488e-01 2.484199203533152545e-01 2.195672335090703142e-01 2.045823779664205644e-01 2.204764139733094430e-01 2.469906274111553779e-01 2.318065564936387934e-01 2.422212485846302887e-01 2.397319090728782798e-01 2.421601131930136430e-01 2.404080422419261065e-01 2.051130292156169155e-01 2.062147165396285287e-01
1.990230031121611176e-01 1.815676873250168244e-01 2.094792140905062106e-01 1.985714370890984959e-01 2.089065175837672150e-01 2.210961089697421611e-01 1.925836742976883009e-01 2.102061574896881557e-01 2.077546150390191526e-01 1.982563001349419984e-01 2.001766213115498128e-01 2.268751456890681917e-01 1.891677695897521494e-01 2.169434614231680047e-01 1.872702212322894244e-01 1.877928473121631414e-01 2.048741191631401337e-01 1.841803493798022107e-01 1.964599482380977036e-01 2.133393292567918598e-01 1.926781501363223348e-01 1.976562846604499046e-01 1.862254634176535306e-01 1.900894040976614241e-01 2.071394252560915805e-01 2.075406954170478380e-01 2.213421828474133601e-01 2.223474717407867840e-01 2.177192751497729617e-01 1.999029251893465198e-01 2.067884015349633620e-01 1.938019167163695378e-01 1.992885750088281838e-01 2.123255228373007453e-01 2.006122882075127289e-01 2.004945483583193133e-01
2.942766559423943273e-01 2.452553675890157270e-01 2.987437442393967024e-01 2.830237170612953657e-01 2.859352195667831942e-01 2.735936764944340571e-01 2.527577537145200837e-01 3.388206370354164276e-01 2.907594430171102640e-01 2.712105334896077191e-01 2.801877186563373479e-01 2.835273891518197420e-01 2.856777819455857959e-01 2.809685030185271604e-01 2.456216673906358450e-01 3.020675832710832953e-01 2.753560079282162953e-01 2.677979565308129528e-01 2.754782342024476582e-01 2.561173452445366649e-01 2.863671339836260099e-01 2.804706178400432348e-01 2.897682574422627000e-01 2.889337992823019508e-01 2.845328029247344848e-01 2.495967142445927878e-01 2.859424708682926086e-01 3.197852634146854389e-01 2.832830119992890139e-01 2.705853950846414113e-01 2.922288280535587091e-01 2.821764372423884448e-01 2.573784267011073323e-01 2.728792381827397917e-01 2.791961565875893392e-01 3.275713829452563397e-01
1.055374469864700337e+01 9.357880764592913181e+00 6.011489518003879873e+00 9.205868083612745778e+00 7.174373343376904799e+00 5.062774658175050568e+00 4.111991507125559053e+00 3.464595907247318252e+00 7.276178397628531691e+00 3.639202918388710462e+00 4.389657036699492032e+00 3.330181377755363492e+00 8.436713679826629786e+00 3.508550806330783978e+00 4.195356922984643688e+00 2.078129422157634210e+01 3.630708703800322290e+00 8.476800417213331329e+00 3.518296813680513502e+00 4.709991012560644563e+00 1.156066536174715154e+01 1.321733267844758863e+01 1.165087559322127575e+01 3.667941507846880000e+00 3.982036335301057939e+00 4.609133415649488086e+00 3.497395784828615017e+00 1.071664562073383919e+01 5.090714597351657211e+00 3.520689578238065387e+00 3.435943134145214906e+00 7.756309724945247730e+00 9.206256497615365575e+00 8.725451745527218250e+00 3.056235321854547049e+00 3.619562934493879780e+00
1.755950163724564694e+00 2.944087351168557909e+00 2.369223553419373740e+00 1.417370750540936974e+01 1.928937193289875118e+00 1.460978631800218697e+00 9.876203570600430304e-01 5.576128884812938669e-01 6.518561230572683662e+00 1.164164384245141570e-01 3.348173557928162403e-01 5.065937044379337229e-01 2.322491830317805039e+00 6.259156905328958631e-01 1.070161146801762442e+00 1.112170849267441497e+01 1.356030502399466098e+00 7.218673943473906895e+00 4.102051030723538605e-01 2.805452557928175494e+00 1.259811876828906207e+01 3.721769672010746888e+01 8.087164437213887780e+00 3.591589984838659544e-01 4.431167030249189565e-01 1.385626439708405933e+00 3.159770351918469444e-01 8.803248017483321419e+00 4.103736557914410277e+00 6.036231854953241077e-02 8.511882411524710479e-01 4.489172087469546213e+00 2.207831853616447049e+01 1.319943467614706734e+01 1.080669620764453803e-01 3.830401062105203563e-02
1.479422257376591787e+01 1.289845905293436701e+01 3.556933448618650129e+00 1.651885831346016786e+01 2.125465124295748964e+01 2.258082400118413879e+00 9.527990720414173387e-01 4.016535368556763963e-01 3.261985478278239370e+00 4.147546032133583860e-01 1.168056932414144766e+00 6.237521118486679672e-01 5.348007440176387739e+00 3.432093899175100438e-01 3.696858102570807177e-05 1.492418716723098981e+01 1.233245737409587539e+00 1.392173968863934341e+01 9.743897192244305118e-05 1.795621426836195411e+00 1.714525837933587482e+01 1.025054048154130193e+01 8.351144756660433544e+00 9.480229953122709663e-01 8.642733988827533409e-01 1.024246330582235132e+00 7.980791423591461486e-02 1.928670156025784976e+01 4.458204871939686065e+00 7.060693696483659465e-02 5.471013478820527798e-01 1.760845200609846017e+01 1.011620028269602400e+01 1.876356361300944542e+01 1.953829960524530174e-01 4.648611556794396971e-01
-6.479033821251493908e-02 3.709861340463649348e-01 -1.070750283690441007e+00 -4.623042104998520974e-01 -1.343440294988227091e-01 -3.201915615117214564e-01 -3.783296754240861315e-01 -4.783077197655409285e-01 -1.056341438372250696e+00 -2.079514223346492052e+00 -1.359841542024873950e+00 -9.561138552258714451e-01 -1.135827272148473455e+00 -8.452340896201051557e-01 -8.051339618509196772e-01 -7.540891891469913011e-01 -1.365318551325202634e+00 -3.379199479728062783e-01 -9.180697068384102710e-01 -9.435921802418338888e-01 -5.689195574568779445e-01 -2.617164637494725499e-01 -3.183319826434842792e-01 -9.411216784631550869e-01 -1.169978978285557636e+00 -2.467935629863862723e-01 -1.190775730943230970e+00 2.840986940290698981e-02 -4.654189351057625434e-01 -1.395144642490979159e+01 -1.297995667704773926e+00 -2.799760857634835953e-01 -2.381190037655692426e-01 -3.073643119217606690e-01 -6.934504924493007927e-01 -5.106112241198501600e-01
