# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
1.120000000000000000e+02 1.180000000000000000e+02 3.810000000000000000e+02 1.400000000000000000e+02 1.850000000000000000e+02 3.180000000000000000e+02 1.550000000000000000e+02 3.060000000000000000e+02 1.970000000000000000e+02 4.980000000000000000e+02 3.310000000000000000e+02 4.030000000000000000e+02 2.480000000000000000e+02 2.770000000000000000e+02 1.420000000000000000e+02 1.340000000000000000e+02 6.690000000000000000e+02 1.830000000000000000e+02 9.540000000000000000e+02 1.080000000000000000e+02 1.590000000000000000e+02 1.330000000000000000e+02 1.630000000000000000e+02 8.340000000000000000e+02 6.790000000000000000e+02 2.880000000000000000e+02 2.680000000000000000e+02 1.360000000000000000e+02 1.129000000000000000e+03 8.370000000000000000e+02 3.730000000000000000e+02 1.070000000000000000e+02 1.970000000000000000e+02 1.980000000000000000e+02 6.550000000000000000e+02 3.310000000000000000e+02
-1.178099215648644986e+03 -1.205184732202122404e+03 -5.755651300545848244e+03 -1.377245454558454185e+03 -2.139307666833321491e+03 -5.794300005219981358e+03 -3.307558035208858200e+03 -7.202773267875370038e+03 -2.322828971418921356e+03 -1.265635069775182819e+04 -6.779743908411547636e+03 -9.452721649386156059e+03 -3.478052532872014581e+03 -6.761112725466991833e+03 -2.917441475757056651e+03 -1.209751629152582609e+03 -1.427567816087086794e+04 -1.837058198801722028e+03 -2.826338065130280665e+04 -1.875135877653513717e+03 -1.467294334338689850e+03 -1.251963369416690284e+03 -1.739176280467897641e+03 -1.885569545293364718e+04 -1.339988342233020740e+04 -5.775843978307242651e+03 -7.332407914577088377e+03 -1.367679299984393538e+03 -1.886523869983410987e+04 -2.173455972749392458e+04 -8.709527378693430364e+03 -1.261999189315699596e+03 -2.054050762240716267e+03 -2.058956270246086660e+03 -1.852447949330982738e+04 -8.416002207816174632e+03
3.242941336192639024e-01 3.291655157017532307e-01 2.664823639256768129e-01 2.978104672903478800e-01 2.811779257625345863e-01 2.888927530287253020e-01 2.831281330440968969e-01 2.879427249542458878e-01 2.826000222977060328e-01 2.827345199122092145e-01 2.870300906183076428e-01 3.032607640055499099e-01 2.883416151575320385e-01 2.914411085852730565e-01 3.259143879974166769e-01 3.000154215778859657e-01 3.138490072775109718e-01 3.095211888956710400e-01 3.548283867638241662e-01 3.042339720149864757e-01 3.003473684188487924e-01 3.048523717441158909e-01 2.983653651297249465e-01 3.135648227376649499e-01 2.785245444471918241e-01 3.192867835787148167e-01 2.960523987082196440e-01 2.678599119310163257e-01 2.828884485194885778e-01 3.257972353610126826e-01 2.766761973913287598e-01 2.902218290120870958e-01 3.173698398004874965e-01 2.931364006389052812e-01 3.360276068164608776e-01 2.736990384211193117e-01
1.872699330895054859e-01 2.404407427059697677e-01 2.240488592319340444e-01 2.096141165965094144e-01 2.116980450264972224e-01 2.082833681990311214e-01 2.145627854662362777e-01 1.718635977564705597e-01 2.024251552147038891e-01 2.490738557389451380e-01 2.218151432410071233e-01 1.832071441686583535e-01 2.241382943265968486e-01 1.967578076372391016e-01 2.272376364507099067e-01 1.972785974621240890e-01 1.774826968165324481e-01 2.271999834429189180e-01 1.643010229775519748e-01 1.992951745235888861e-01 2.139433810680279602e-01 2.123165215335539313e-01 2.095729139806868369e-01 1.884608196951073067e-01 2.253140811821564837e-01 2.069618474542192221e-01 1.807577645933730881e-01 1.904902683396903773e-01 2.051720518552160033e-01 1.876306602814331870e-01 2.046822013180663036e-01 2.207251244593796680e-01 2.182759004763668575e-01 2.136811857893387845e-01 1.712540724209062892e-01 1.967009116358152954e-01
2.008094012669822959e-01 1.823873828471100078e-01 2.009795696044265056e-01 2.035002659923715596e-01 2.048314009103320288e-01 2.137231575231306469e-01 2.318941328397148283e-01 2.085013495667266958e-01 2.015030114957578056e-01 1.953577734010683575e-01 1.951278576311621660e-01 2.149530167355957200e-01 1.748908625299036845e-01 2.273216215688874664e-01 1.805529952227656887e-01 1.880378256646943469e-01 1.795850772778083138e-01 1.777582879995450171e-01 1.907319042949077725e-01 2.235905208503901065e-01 1.921461846049069833e-01 2.007475243571691659e-01 1.871536409219771990e-01 1.797164771488293511e-01 1.908392318526213882e-01 2.182690158004531589e-01 2.396628650618330691e-01 2.210494029240516467e-01 1.966690304665029976e-01 1.918138346749075351e-01 2.002996363119039780e-01 1.965964467742105370e-01 1.930619461815991922e-01 2.048227382784683082e-01 1.983550147866063873e-01 2.166456541234030586e-01
2.876265320242483159e-01 2.480063587451670215e-01 3.084892072379626371e-01 2.890751501207711183e-01 3.022926283006361348e-01 2.891007212491129574e-01 2.704149486499520250e-01 3.316923277225568567e-01 3.134718109918323004e-01 2.728338509477772345e-01 2.960269085095231234e-01 2.985790750901959889e-01 3.126292279859674839e-01 2.844794622086003755e-01 2.662949803291077000e-01 3.146681552952956817e-01 3.290832186281482108e-01 2.855205396618650804e-01 2.901386859637161142e-01 2.728803326110345040e-01 2.935630659082162919e-01 2.820835823651609564e-01 3.049080799676109899e-01 3.182578804183982535e-01 3.053221425180303039e-01 2.554823531666128300e-01 2.835269716365741988e-01 3.206004168052416503e-01 3.152704691587924213e-01 2.947582696826466231e-01 3.183419649787008754e-01 2.924565997543228102e-01 2.712923135415464260e-01 2.883596752932875429e-01 2.943633059760264459e-01 3.129543958196623343e-01
6.296980553381978929e+00 6.607150790754563019e+00 3.840425464676320289e+00 5.510735385735653580e+00 5.364308347525789777e+00 3.686894423805330945e+00 2.211932950282669452e+00 2.746443567395446372e+00 5.432798069880086622e+00 2.512140647706734065e+00 2.922035171247850283e+00 2.571112610320851033e+00 5.157617139917874738e+00 2.386619233520745897e+00 2.756002559631017146e+00 1.141454863370329775e+01 3.043707258415287775e+00 6.361685258737164617e+00 2.722004484632198906e+00 2.832078188351704995e+00 8.166293390964556309e+00 9.069985450754661116e+00 8.404333642032199236e+00 2.938617243373180532e+00 2.834804972606834728e+00 3.083178157612463277e+00 2.425905581495292118e+00 8.441742725113728696e+00 3.524013946881598081e+00 2.657084312416983618e+00 2.614507690200489787e+00 5.600532142179868167e+00 7.296385174608240654e+00 7.127002447201918223e+00 2.512664065927463941e+00 2.839381028821999831e+00
8.561639538723617160e-02 5.473551043969601682e-02 4.153786608537832215e-02 7.372012020473121818e-02 1.267863042489848768e-01 6.078094619887607769e-02 3.407691034078676184e-02 6.652710772216149926e-02 1.725529928399728574e-01 1.169738216300010569e-01 1.104430615872661614e-01 7.039401855490969029e-02 2.573486335783479323e-02 8.952428695301831163e-02 1.512801090126013326e-01 2.435812541489014438e-02 7.169565478123963997e-02 9.520765920591393872e-02 1.889215299981118201e-01 6.409014599425112702e-02 9.280416772719633778e-02 1.347828345708404763e-01 7.618529705823594289e-02 7.177915727131485568e-02 8.365932803887696223e-02 4.706600432855460175e-02 9.303761543508075327e-02 5.600945693234089112e-02 4.739535857825466492e-02 8.535361330628299381e-02 1.021461560321571399e-01 1.488797464518307467e-01 2.240539427023240937e-01 1.893317332220175730e-01 1.220622962335237843e-01 1.056581210989007008e-01
1.653146382829888683e+00 1.357371299321080027e+00 5.846232994437642327e-01 3.644434906189241374e+00 2.480028189731750210e+00 1.821850634317870865e-01 2.922497149722010357e-01 1.285711463257014076e-01 1.464006672835620915e+00 1.745479923976691605e-01 7.652162293789205316e-02 5.547674926585206834e-02 3.571498112652327084e-01 1.170143492445252925e-01 1.516357452237945269e-01 3.163559753640970307e+00 2.417092503812682813e-01 1.764845031165469091e+00 2.782585499690768890e-02 3.829657158895070079e-01 3.832416121009943222e+00 7.469748134190914435e+00 1.409407732299638560e+00 1.882926961530083931e-01 1.664651942937478701e-01 2.744658617680943991e-01 3.307712657668988865e-02 2.809980793427370394e+00 1.086931484735873976e+00 1.403850416818376023e-01 9.551130880865307815e-02 3.279774110463677950e+00 5.705207102543806919e+00 4.867456018342566360e+00 6.885543580676517506e-02 6.198583572814235498e-02
4.067989525338474438e-02 4.423449565580753889e-02 2.050633286930108601e-01 3.186865914283205231e-02 8.841889708613114712e-03 1.015695740835166200e-01 4.987972755763188104e-01 4.386835594193391752e-01 1.161939900755182553e-01 1.890032395262869480e-01 3.436831020573020146e-01 8.054378570935251066e-05 2.166740644812685523e-02 1.696842933601277748e-01 5.709479089915287658e-02 1.011987671340242728e-03 1.011815263897901107e-01 1.010254303821727909e-05 6.954248040090140748e-01 4.095232649123677071e-02 3.555421252058360571e-02 1.954284039149758111e-82 1.972409465415824945e-02 5.112320526522531328e-01 9.528818732656005319e-02 5.638146048747715300e-01 1.327691541038133749e-01 1.722979064993234929e-02 1.350095182253522319e-01 6.013930962423442717e-01 2.978195370377660356e-01 2.148480082298807189e-05 6.786174204006455157e-02 5.163951990533508646e-02 2.723859879508477300e-01 1.154782195874812345e+00
