# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
1.120000000000000000e+02 1.180000000000000000e+02 3.810000000000000000e+02 1.400000000000000000e+02 1.850000000000000000e+02 3.180000000000000000e+02 1.550000000000000000e+02 3.060000000000000000e+02 1.970000000000000000e+02 4.980000000000000000e+02 3.310000000000000000e+02 4.030000000000000000e+02 2.480000000000000000e+02 2.770000000000000000e+02 1.420000000000000000e+02 1.340000000000000000e+02 6.690000000000000000e+02 1.830000000000000000e+02 9.540000000000000000e+02 1.080000000000000000e+02 1.590000000000000000e+02 1.330000000000000000e+02 1.630000000000000000e+02 8.340000000000000000e+02 6.790000000000000000e+02 2.880000000000000000e+02 2.680000000000000000e+02 1.360000000000000000e+02 1.129000000000000000e+03 8.370000000000000000e+02 3.730000000000000000e+02 1.070000000000000000e+02 1.970000000000000000e+02 1.980000000000000000e+02 6.550000000000000000e+02 3.310000000000000000e+02
-1.178099091211195628e+03 -1.214125163354494589e+03 -5.795695215017999544e+03 -1.387836161481140152e+03 -2.139307636399931198e+03 -5.794300021956849378e+03 -3.307558041853215400e+03 -7.202773246625268257e+03 -2.332954475104331323e+03 -1.265635071216759934e+04 -6.779743839509294048e+03 -9.452722199245827142e+03 -3.478052570212840692e+03 -6.761112716781178278e+03 -2.917441485812138126e+03 -1.214784879246508126e+03 -1.427567869435170360e+04 -1.837058150595010829e+03 -2.826338099308810706e+04 -1.875135864711447311e+03 -1.476450409380788642e+03 -1.251969034234218952e+03 -1.739176300433707866e+03 -1.885569571219380668e+04 -1.339988345467741419e+04 -5.775843968693907300e+03 -7.332407733074805947e+03 -1.382061826912153492e+03 -1.902528659374907147e+04 -2.173456011211897930e+04 -8.709527361698297682e+03 -1.261998704951235368e+03 -2.057816057808386176e+03 -2.065959946356395903e+03 -1.852448002287518830e+04 -8.416002305296633494e+03
3.242747549915427907e-01 3.306661306031037362e-01 2.669200483064096963e-01 2.998427421853075425e-01 2.811561321718124562e-01 2.888738983802354165e-01 2.831065222139423909e-01 2.880307444958055130e-01 2.818280610784549833e-01 2.827395838204491141e-01 2.870411239573029683e-01 3.032928709250763966e-01 2.883405706210467323e-01 2.914491495883929639e-01 3.259484050696689339e-01 3.000607894581009960e-01 3.138819909778226558e-01 3.095270632581878512e-01 3.548340555250772410e-01 3.042269557112419198e-01 3.008396472487761542e-01 3.048545689576054873e-01 2.984274795822472459e-01 3.135716984613574621e-01 2.784839998066728772e-01 3.192918506128438749e-01 2.960846889221291356e-01 2.662928707457654642e-01 2.827501654526028418e-01 3.257539026168858598e-01 2.767100917655578862e-01 2.902423625303985899e-01 3.161569390923392175e-01 2.928381928489123820e-01 3.360788617020456504e-01 2.736996992082983970e-01
1.872669104571157150e-01 2.387164784365660430e-01 2.246130161936065461e-01 2.091438275249151435e-01 2.116684662686475205e-01 2.082866167211693820e-01 2.145707108966193044e-01 1.718699070815121466e-01 2.035250320789599998e-01 2.490669703969390358e-01 2.218164478444845655e-01 1.831963063119764756e-01 2.241343431638253836e-01 1.967587708749318487e-01 2.272112707223359618e-01 1.978943858097042818e-01 1.774543245463255370e-01 2.272011364845236137e-01 1.643104685547787935e-01 1.992927881803978063e-01 2.137115797687263175e-01 2.123184636190532659e-01 2.095557254599703378e-01 1.884542904524497964e-01 2.253370019906183741e-01 2.069480877356481008e-01 1.807231790344501210e-01 1.907857979646428725e-01 2.062371791945276922e-01 1.876942652482335716e-01 2.046884496599019054e-01 2.207709308530267089e-01 2.195335589345813465e-01 2.153633006071449807e-01 1.711826439778728337e-01 1.966978540048207602e-01
2.008027307587873789e-01 1.842718608134706060e-01 2.019329705300243749e-01 2.037531654563174421e-01 2.048414307796869727e-01 2.137183299767110578e-01 2.319323350211690282e-01 2.084570591934926664e-01 2.017853841898791245e-01 1.953618720849999990e-01 1.951376239608181296e-01 2.149563700561387403e-01 1.748942565842918906e-01 2.273275243536823365e-01 1.805572024285940769e-01 1.901655414583991455e-01 1.795839207860750186e-01 1.777512042921054469e-01 1.907318184690668661e-01 2.235889140128353991e-01 1.928339675450421176e-01 2.007511782393612554e-01 1.870846785009230573e-01 1.797346062329179817e-01 1.908255460821198513e-01 2.182758110728788004e-01 2.396684332442485799e-01 2.221034501043168408e-01 1.975956279916032399e-01 1.918040108986349690e-01 2.002805989136297871e-01 1.965812599255715720e-01 1.939768868976419203e-01 2.053305800842095685e-01 1.983852966413507946e-01 2.166475132359327316e-01
2.876556037925541154e-01 2.463455301468595871e-01 3.065339649699594382e-01 2.872602648334598441e-01 3.023339707798530229e-01 2.891211549218841159e-01 2.703904318682692209e-01 3.316422892291897573e-01 3.128615226527059479e-01 2.728315736976119066e-01 2.960048042373943367e-01 2.985544527068083598e-01 3.126308296308359935e-01 2.844645551829928509e-01 2.662831217794010552e-01 3.118792832737956044e-01 3.290797636897768164e-01 2.855205959651829772e-01 2.901236574510770438e-01 2.728913420955248470e-01 2.926148054374553831e-01 2.820757891839800191e-01 3.049321164568594145e-01 3.182394048532748432e-01 3.053534521205889529e-01 2.554842505786292239e-01 2.835236987991721636e-01 3.208178811852747669e-01 3.134170273612661428e-01 2.947478212362456551e-01 3.183208596609103935e-01 2.924054466910031569e-01 2.703326150754374879e-01 2.864679264597331243e-01 2.943531976787306936e-01 3.129549335509480557e-01
6.296552369086200862e+00 6.557499287688754563e+00 3.856476775160328163e+00 5.676082414333266435e+00 5.365038731337151034e+00 3.687376413046565826e+00 2.211716660857500738e+00 2.746855423400229590e+00 5.480785530529157512e+00 2.512401124906820105e+00 2.922118148509329938e+00 2.571393982982666859e+00 5.159199247247815201e+00 2.386238285738382370e+00 2.755216863329628563e+00 1.122130983495367396e+01 3.044615853099761349e+00 6.360722091976245274e+00 2.721423718644980116e+00 2.832103400516619907e+00 8.197038340226027842e+00 9.072764087282390477e+00 8.405948594325979073e+00 2.938480427268401751e+00 2.834588397333124288e+00 3.082937871327676937e+00 2.425910876805276395e+00 8.493099072851991949e+00 3.684784052853706804e+00 2.657562214233565978e+00 2.614401239744178262e+00 5.600431075633299116e+00 7.559965065140032969e+00 7.344312681268369225e+00 2.512870007607115763e+00 2.839004449042652478e+00
8.562887120858993228e-02 6.548668521687003863e-02 4.571412134201963823e-02 9.543976938738737981e-02 1.267759442503731682e-01 6.078390116942274796e-02 3.408720249196114938e-02 6.652708901205363345e-02 1.948876917340322534e-01 1.170385958902690482e-01 1.104555388549600808e-01 7.042148823742985786e-02 2.572945931125417487e-02 8.954638698634163896e-02 1.512465936827831203e-01 2.797763145783724315e-02 7.167556541644981571e-02 9.523060556319072611e-02 1.889291825309822870e-01 6.408283303933363928e-02 1.094509653938296051e-01 1.347986094483820951e-01 7.616428094301877505e-02 7.179555127925642266e-02 8.366439955022965391e-02 4.709115532494621836e-02 9.304682873222276662e-02 6.831747743439287035e-02 5.027802618318864131e-02 8.535246567432548670e-02 1.021645529169846467e-01 1.488996821836385820e-01 2.691160461532812187e-01 2.398389919879866383e-01 1.221452776732190187e-01 1.056447961999064517e-01
1.652133954267196225e+00 1.886961666891578293e+00 7.602451616813458157e-01 4.564716954558782014e+00 2.479891526897612941e+00 1.818815041904953966e-01 2.920937497920140791e-01 1.284848288654028003e-01 1.908420323797349827e+00 1.744443562840903295e-01 7.666749031330691300e-02 5.514038246407706317e-02 3.570079333733214288e-01 1.172010000115781270e-01 1.521356457716863120e-01 3.670241134323690702e+00 2.413497780906677659e-01 1.765412702195258365e+00 2.767795491170455674e-02 3.828499240973460283e-01 4.649032181203832437e+00 7.469871252088084113e+00 1.410143582320773525e+00 1.882311300968286250e-01 1.664191268190541861e-01 2.743497634950716191e-01 3.355029614671630606e-02 3.669197570569028510e+00 1.320603593039545887e+00 1.400669890672941731e-01 9.562855457981672691e-02 3.280658774971619174e+00 6.564236397257750433e+00 5.687221755083870178e+00 6.870965581837421010e-02 6.183652605708023914e-02
4.058294039625167521e-02 1.736130649105094570e-01 4.791851128030569229e-01 2.619852630198075127e-01 8.658294327316599578e-03 1.016266681413413309e-01 4.974393063424609185e-01 4.386211780958750306e-01 2.641408607848738099e-01 1.885391616118711478e-01 3.437149762077210124e-01 1.505791047168355949e-04 2.191254129626028085e-02 1.702410920003931960e-01 5.705357097787296800e-02 1.036398782422722070e-01 1.013246845857247724e-01 6.012320895799937179e-06 6.944346448800593485e-01 4.086715109865256268e-02 1.775140947380361434e-01 8.576259155646944826e-06 1.960893200156615945e-02 5.100341744943326372e-01 9.527795040241464342e-02 5.638441038493590129e-01 1.336199124637533764e-01 2.527167831349378946e-01 9.220363204213625208e-01 6.013534282995182112e-01 2.979015822168572525e-01 1.090382968580105357e-06 2.349444359953147543e-01 2.558801960167212397e-01 2.733480597190146022e-01 1.154434906726667487e+00
