# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
1.120000000000000000e+02 1.180000000000000000e+02 3.810000000000000000e+02 1.400000000000000000e+02 1.850000000000000000e+02 3.180000000000000000e+02 1.550000000000000000e+02 3.060000000000000000e+02 1.970000000000000000e+02 4.980000000000000000e+02 3.310000000000000000e+02 4.030000000000000000e+02 2.480000000000000000e+02 2.770000000000000000e+02 1.420000000000000000e+02 1.340000000000000000e+02 6.690000000000000000e+02 1.830000000000000000e+02 9.540000000000000000e+02 1.080000000000000000e+02 1.590000000000000000e+02 1.330000000000000000e+02 1.630000000000000000e+02 8.340000000000000000e+02 6.790000000000000000e+02 2.880000000000000000e+02 2.680000000000000000e+02 1.360000000000000000e+02 1.129000000000000000e+03 8.370000000000000000e+02 3.730000000000000000e+02 1.070000000000000000e+02 1.970000000000000000e+02 1.980000000000000000e+02 6.550000000000000000e+02 3.310000000000000000e+02
-1.199560885534481486e+03 -1.226608894225214044e+03 -5.823599611846061634e+03 -1.450399242488451819e+03 -2.221805338259666314e+03 -5.837820531827922423e+03 -3.331223831309216621e+03 -7.231439658972687539e+03 -2.387384291289744397e+03 -1.272095280981355972e+04 -6.814474542689294140e+03 -9.469214865349089450e+03 -3.507189878456703354e+03 -6.782030900676888450e+03 -2.966906226948398398e+03 -1.257752712917239933e+03 -1.434651310241328974e+04 -1.881007308405782396e+03 -2.836299035361097413e+04 -1.904686327975782888e+03 -1.545725721009160225e+03 -1.375819782698128847e+03 -1.781764415202793316e+03 -1.897832586621287192e+04 -1.346402404627407304e+04 -5.826661554000234901e+03 -7.351323715634634937e+03 -1.421693700548784363e+03 -1.936689952653015280e+04 -2.179404306429970893e+04 -8.738778458943723308e+03 -1.357586301841998875e+03 -2.205646910114288403e+03 -2.203942942328791560e+03 -1.857519714319382547e+04 -8.466546825499954139e+03
3.210515990473292169e-01 3.259574536691425828e-01 2.590249624299033604e-01 2.908953489294516803e-01 2.761834575951318538e-01 2.854114310297049539e-01 2.777004261612377456e-01 2.881409010916823332e-01 2.798956568797440481e-01 2.798253139372951503e-01 2.813388643210842921e-01 3.033296953989471079e-01 2.867761555239563553e-01 2.888243208237246118e-01 3.246875831768646359e-01 2.948716660924998734e-01 3.141433706384287317e-01 3.082655470203681247e-01 3.537371153307129479e-01 2.974939614661575860e-01 3.015013688984526929e-01 3.094926646003166026e-01 2.987458937763698419e-01 3.121605153534260380e-01 2.750303367745913219e-01 3.177101679417548286e-01 2.950216400765037217e-01 2.679518310038180307e-01 2.818835736869502173e-01 3.250395868485695394e-01 2.756112697090065677e-01 2.877917978771049046e-01 3.117143527660711233e-01 2.887865800320328358e-01 3.351843520112315900e-01 2.736067320397190805e-01
1.851679072383659030e-01 2.441382779344423715e-01 2.338890933890141743e-01 2.092486550656339483e-01 2.082341983708192457e-01 2.112586306034051065e-01 2.144873960373721022e-01 1.722625643479627489e-01 2.010714135073737585e-01 2.518049409617968415e-01 2.279407894381405841e-01 1.832478789896594962e-01 2.253897022655803606e-01 1.985679058426756127e-01 2.285555113890701262e-01 1.989198388968607401e-01 1.759926604214906709e-01 2.288947070689222041e-01 1.647282575367244872e-01 2.036001221400727812e-01 2.168612391392739924e-01 2.115660399351574350e-01 2.084001260627462160e-01 1.888310475442289693e-01 2.282506738072053731e-01 2.099532907923433722e-01 1.808188911995589621e-01 1.858008889437234579e-01 2.070492675735139398e-01 1.879492755160720729e-01 2.048220852578389317e-01 2.168253265095359539e-01 2.253917823828480993e-01 2.154741235403149213e-01 1.708393895523835915e-01 1.969445924707430295e-01
2.003060094959904780e-01 1.766625496809028362e-01 1.988891831891593520e-01 1.966814311867469411e-01 2.027854849997709763e-01 2.121064078725522495e-01 2.347325883000754287e-01 2.074774344107667423e-01 1.975534750708334286e-01 1.936145530684229288e-01 1.954501995851354312e-01 2.144905628922380569e-01 1.748134902361457854e-01 2.279123626515520973e-01 1.787897171996668255e-01 1.820596927433747181e-01 1.772518406084402365e-01 1.716368531354292293e-01 1.907505748067576112e-01 2.182114636574028210e-01 1.810107250344574203e-01 1.934077064278321711e-01 1.806094426736073733e-01 1.792419864620852232e-01 1.890363543604019481e-01 2.189559213736474164e-01 2.402728683076086891e-01 2.155302165601859776e-01 1.928763258995607743e-01 1.915469525272569251e-01 2.006477120147013571e-01 1.938570659027535059e-01 1.827294603305794352e-01 1.961541892707538981e-01 1.989353636049801533e-01 2.169039013401421745e-01
2.934744842183144020e-01 2.532417187155122096e-01 3.081967609919231132e-01 3.031745648181674024e-01 3.127968590342778965e-01 2.912235304943377456e-01 2.730795895013147234e-01 3.321191001495881756e-01 3.214794545420487371e-01 2.747551920324851071e-01 2.952701466556396093e-01 2.989318627191553945e-01 3.130206519743175542e-01 2.846954106820477337e-01 2.679671882343983569e-01 3.241488022672647240e-01 3.326121283316403887e-01 2.912028927752804419e-01 2.907840523258049537e-01 2.806944527363667841e-01 3.006266669278158110e-01 2.855335890366938467e-01 3.122445374872765966e-01 3.197664506402597695e-01 3.076826350578013014e-01 2.533806198922543551e-01 2.838866004163286272e-01 3.307170634922725339e-01 3.181908328399750685e-01 2.954641851081015180e-01 3.189189330184530879e-01 3.015258097106056634e-01 2.801644045205012312e-01 2.995851071568983448e-01 2.950408948314046653e-01 3.125447741493957432e-01
5.990001351725045886e+00 7.231654638898723952e+00 3.839242479928706597e+00 4.862869508892212700e+00 4.694547466541514780e+00 3.517026249345871491e+00 2.245090822241001760e+00 2.714273140426297193e+00 4.658068237819088075e+00 2.495618981337194953e+00 2.944345928896256570e+00 2.566438580552272253e+00 5.388346861570540547e+00 2.387365423474640647e+00 2.760644171709206063e+00 9.950643358051793896e+00 3.035192776060450903e+00 6.430977806554305509e+00 2.740632772602883183e+00 2.577896509152614257e+00 7.841662866039127877e+00 7.881367343610287790e+00 7.684589003578118138e+00 2.925230838905721775e+00 2.829855073833845047e+00 3.121648282900526983e+00 2.428435141167861300e+00 8.424358665150212033e+00 3.293429873690637777e+00 2.648057530050683006e+00 2.622311157300851292e+00 3.996942416299822387e+00 5.991956376506476722e+00 5.746693081791740987e+00 2.498790483539394813e+00 2.836378112025563336e+00
7.388304578294624392e-02 4.708873919825132953e-02 4.006892354537746476e-02 5.903298498894999496e-02 1.108320595549851378e-01 5.913084501766301126e-02 3.263479417041730696e-02 6.556740577401160008e-02 1.517801063009993345e-01 1.167359720888643676e-01 1.053175736314150290e-01 7.001433699907590180e-02 2.399048322679471490e-02 8.898140697268611121e-02 1.543083362554107940e-01 2.087159265937818184e-02 7.367690928285898500e-02 8.207470059170796084e-02 1.840951366299320435e-01 6.075001205664402187e-02 7.320050250860986318e-02 1.127082385431737444e-01 6.498742686167274796e-02 7.440529829021140518e-02 8.396351760187141522e-02 5.408519774783231149e-02 9.103194181588269984e-02 4.962080832665850122e-02 4.680024199756264297e-02 8.423085166482448261e-02 9.792669673425517807e-02 1.409663235124151148e-01 1.536418468117517477e-01 1.345354495973983266e-01 1.223087264943240327e-01 1.017120924178065711e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.945138907162768938e-02 4.470121284672442163e-04 6.339622268118275117e-02 3.059023205018257859e-07 3.059023205018257859e-07 4.239430065052719049e-02 2.307809519703554191e-01 2.491741466796175974e-01 2.266171591567567312e-02 3.202780176616175367e-02 2.285324829016046333e-01 3.587557206368262663e-07 2.341691883173753464e-10 3.146168956849266368e-02 1.571566200828963464e-02 8.081833890494367137e-10 4.758606476316915718e-02 3.059023205018257859e-07 4.564233746391003210e-01 8.939365711683969901e-03 4.067035416770284479e-07 3.059023205018257859e-07 4.915776854906421869e-03 2.603843893256436726e-01 2.607214516436101234e-02 2.809403449409124121e-01 1.132185548019133542e-01 5.058415479617378932e-03 1.261418908946709827e-02 3.344526607311688604e-01 1.790478295173923706e-01 1.341399349617193778e-09 3.059023205018257859e-07 2.203730188739053564e-03 2.145091194580231175e-01 6.770220349952260630e-01
2.865800501777478471e-01 2.237677784497521249e-01 5.762382133041663579e-01 2.485064196833032257e-01 2.136556619916913369e-01 8.162383555262265888e-01 5.797080496723182819e+00 3.233289730952394248e+00 2.882469736691122830e-01 2.517906184566412797e+00 1.123777105595361370e+00 2.551544402775340004e+00 6.895302771649176599e-01 2.266445476120195313e+00 9.177359456069930088e-01 1.737158939744113673e-01 2.045779354413681528e+00 2.430967608152811987e-01 2.422835958530233924e+00 7.993674565428700030e-01 1.913366096859448751e-01 2.288292164729878730e-01 2.563255944535864916e-01 2.275757218438698715e+00 1.123173619863781392e+00 2.096825977892853299e+00 3.276753973009634002e+00 2.390518491729990147e-01 1.014247541667620656e+00 3.664046489509534155e+00 1.578936614934160820e+00 3.968487608952315782e-01 2.366458439047814666e-01 2.465347861292699061e-01 3.677810231378035866e+00 2.743606567160250531e+00
