# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 4.200000000000000000e+02 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 4.020000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 3.990000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 2.037000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 4.080000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 3.210000000000000000e+02 5.910000000000000000e+02 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.273888496774657597e+03 -1.327880762675784354e+03 -6.720679274324677863e+03 -1.468991954289297610e+03 -2.254783203076375685e+03 -6.665860107880316718e+03 -3.730046273392475996e+03 -8.086080487291932513e+03 -2.461871390313951451e+03 -1.363470215271724737e+04 -7.502749912497840342e+03 -1.058955276689614038e+04 -4.119589919375595855e+03 -7.499436247188645211e+03 -3.188783967043710618e+03 -1.335916496372973143e+03 -1.592970374175723919e+04 -1.963226837340975635e+03 -3.008152304052822001e+04 -2.142239055668623678e+03 -1.566814160586730168e+03 -1.314569615210693883e+03 -1.882023546063141794e+03 -2.108961912078645400e+04 -1.510355731153129454e+04 -6.627567284649609064e+03 -8.033420770969702062e+03 -1.478592015365702309e+03 -2.172913785312477557e+04 -2.377402506140980768e+04 -9.655404087414335663e+03 -1.335246109007282030e+03 -2.135735495761937273e+03 -2.126928687547228947e+03 -1.995732068284636989e+04 -9.236745246985283302e+03
2.995120140489324068e-01 3.119707258706108655e-01 2.460717352816558234e-01 2.850684499856971921e-01 2.690875151130992515e-01 2.674592750347614678e-01 3.210925974807152805e-01 2.606207433738770840e-01 2.699528818093038240e-01 2.837016832856790183e-01 2.902310288203323596e-01 2.666482838795288246e-01 2.698145370710868240e-01 2.879102038343996361e-01 3.245424848818281860e-01 2.816797357232434518e-01 2.835394152463214246e-01 2.926122326989525346e-01 3.385902102166401528e-01 3.085137697474313323e-01 2.847377596644969922e-01 2.905384378642936749e-01 2.826392639885679237e-01 2.970571615392347820e-01 2.623683534377055926e-01 3.234895913266467304e-01 2.913268935694671713e-01 2.367565548474840909e-01 2.564431938955918922e-01 3.130804614552996079e-01 2.645901010510612883e-01 2.865130065502296541e-01 3.027800473209782406e-01 2.763514309793471124e-01 3.174412134458946544e-01 2.660619702373154261e-01
2.054651379771547104e-01 2.642831481409227412e-01 2.470003562973693001e-01 2.335223720554540361e-01 2.396464299410392129e-01 2.405798452539077703e-01 2.328686991748655510e-01 1.889522175137695326e-01 2.302445067754770591e-01 2.458998252287155073e-01 2.302212547089581562e-01 2.221094035523505095e-01 2.540486838731539909e-01 2.140745633286165184e-01 2.453064336517554733e-01 2.283314080322698114e-01 2.347969195327144487e-01 2.567164216501596208e-01 1.899370818906354619e-01 2.232317322056683873e-01 2.372641099348249127e-01 2.317843204268128787e-01 2.410463124514810318e-01 2.238304113517052274e-01 2.461241773902551888e-01 2.197749467924906275e-01 2.005828070620719328e-01 2.216707058973419464e-01 2.413997183688581238e-01 2.149372979301956144e-01 2.355144582563754030e-01 2.378883061705930890e-01 2.416818470660039853e-01 2.393491920673357365e-01 2.033140646065647317e-01 2.066567291391996908e-01
1.991872922087436215e-01 1.794659605704692351e-01 2.033165543536575859e-01 1.944005241382600890e-01 2.058639796113680698e-01 2.181708225744904972e-01 1.905464995370768355e-01 2.066766404443426686e-01 2.030168605467813636e-01 1.931658477281459341e-01 1.946312561919691930e-01 2.214182448030413419e-01 1.808213850834811953e-01 2.108340088225449382e-01 1.847896484211306312e-01 1.828809378521261131e-01 1.929268603816700622e-01 1.812531996661970735e-01 1.926975119610057907e-01 2.063723677510233834e-01 1.888454391775722385e-01 1.950193047943438451e-01 1.824210644504345724e-01 1.841025797154241250e-01 2.033241434104484935e-01 2.052803183484127048e-01 2.190795559455751829e-01 2.227235696503081508e-01 2.128999746367010171e-01 1.846111831365344624e-01 1.997886336338489666e-01 1.899443820559493512e-01 1.972289779238090568e-01 2.090102083323775173e-01 1.993091145342558712e-01 1.989072521341150313e-01
2.958355557651691226e-01 2.442801654179970472e-01 3.036113540673173183e-01 2.870086538205886550e-01 2.854020753344935213e-01 2.737900571368402369e-01 2.554922038073423329e-01 3.437503986680107704e-01 2.967857508684377255e-01 2.772326437574595404e-01 2.849164602787402911e-01 2.898240677650793518e-01 2.953153939722780730e-01 2.871812240144389072e-01 2.453614330452857095e-01 3.071079183923606237e-01 2.887368048392940922e-01 2.694181459846907156e-01 2.787751959317185668e-01 2.618821302958769248e-01 2.891526912231058288e-01 2.826579369145496567e-01 2.938933591095164721e-01 2.950098473936358934e-01 2.881833257615907251e-01 2.514551435324499651e-01 2.890107434228857408e-01 3.188491696048658675e-01 2.892571130988489947e-01 2.873710574779703708e-01 3.001068070587143977e-01 2.856543052232280444e-01 2.583091276892086618e-01 2.752891686209396616e-01 2.799356074132847150e-01 3.283740484893698519e-01
1.043122364224273646e+01 9.908740468204415563e+00 6.144943577198838547e+00 9.409693205618852474e+00 7.592621662018560258e+00 5.083835812148402411e+00 4.118623636926235676e+00 3.415001660602813960e+00 7.508008945342288243e+00 3.620579471448698072e+00 4.461702254939815759e+00 3.320563147400937165e+00 8.472873189789810411e+00 3.556748040089355634e+00 4.242137106735532903e+00 2.150825241613376093e+01 3.573993099500243353e+00 8.941845014195255459e+00 3.507762171724290834e+00 4.695145829420972028e+00 1.184593475667212381e+01 1.345641601623583128e+01 1.185705173179735183e+01 3.662971410829875207e+00 3.981824417840442720e+00 4.586699363508472516e+00 3.554531654036474198e+00 1.112494124186909872e+01 5.048577505946787447e+00 3.590567913618269547e+00 3.416199166503655071e+00 7.976262521515768533e+00 9.432473758183256507e+00 8.830956798048257284e+00 3.082684442475732478e+00 3.575328809314897160e+00
7.623870030468134829e+00 6.744832789343429447e+00 2.673712308781261093e+00 1.543059050217523698e+01 9.968335283348187303e+00 1.609366957594498881e+00 8.699260706079094962e-01 3.802410204944232097e-01 4.137897096357801452e+00 2.321838243432295112e-01 5.411919869910843950e-01 4.733427438601792714e-01 3.448133105295876799e+00 3.601039812005942808e-01 4.470159273987885373e-01 1.361274966112221740e+01 1.034061141091056291e+00 8.933216397536348552e+00 7.218131913993701410e-02 2.133727614468998723e+00 1.526126263220899837e+01 2.441672369125338804e+01 7.652354555388350299e+00 4.799718458336631466e-01 5.349238901022940196e-01 9.821575349026751001e-01 2.001119416935265294e-01 1.349377154005838442e+01 4.078274978702036258e+00 2.685803243099087467e-01 5.396741133895819331e-01 1.060154698276629581e+01 1.581997549551785553e+01 1.626079212688366127e+01 1.583781556891424303e-01 1.172534146886761025e-01
2.628510852504446077e-02 1.808771264176498722e-02 5.020531275751424771e-02 2.773679808714090561e-02 1.803192022605738104e-02 4.641142793859533849e-02 7.387554160334240672e-02 5.529761079644272131e-02 2.956411841094618714e-02 1.752829588400182242e-02 7.014022454922899663e-02 4.163763536035500895e-02 4.802012121631223790e-02 4.921112950071168668e-02 1.489784377366139625e-02 1.058302482845636244e-02 6.684629102451225546e-02 1.864830915150081370e-02 1.021661766164136953e-01 2.378844314043983624e-02 1.783695235583456287e-02 1.609710303906925974e-02 2.177282110173034760e-02 6.361263736638128607e-02 1.274101844304629909e-02 6.687299516707338742e-02 4.418106735580563937e-02 2.451808746160324959e-02 6.277234515733402798e-02 7.646502234739413484e-02 6.215733004255979965e-02 7.074838117429688329e-03 1.929929519659415171e-02 2.694448504586947554e-02 6.314607135017109851e-02 1.023966381907366191e-01
7.306992017070128298e-02 6.589785733148088853e-02 1.500164015397030814e-01 6.572347355133828506e-02 7.146875247991917035e-02 1.967577092356964097e-01 3.106544364704685868e-01 4.045125642393028187e-01 9.269850284811248509e-02 4.278363718119380654e-01 2.579530759002527374e-01 3.538994310021374434e-01 1.488835252101346207e-01 3.881907045291909109e-01 2.441076204750242951e-01 5.280946048628719358e-02 2.898603049698826872e-01 7.038453592788575242e-02 5.344759783408352671e-01 1.865845659009439661e-01 5.528025586973842748e-02 6.382479363853028886e-02 7.793170617701733471e-02 3.387168120226478618e-01 2.389958699510981999e-01 2.927281135161872716e-01 5.024456181857540615e-01 6.780768671115526558e-02 1.795884589197741799e-01 5.101351264930655827e-01 3.224842659472195727e-01 1.115972727800815245e-01 6.663313818090034479e-02 7.040428849053463611e-02 5.421105156995712493e-01 4.579049987565702584e-01
