# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 4.200000000000000000e+02 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 4.020000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 3.990000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 2.037000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 4.080000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 3.210000000000000000e+02 5.910000000000000000e+02 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.313939015033687156e+03 -1.367428967772036003e+03 -6.866302775364121771e+03 -1.597366155641325804e+03 -2.398078586665962121e+03 -6.777720951126358159e+03 -3.761269031859365896e+03 -8.096354927303118529e+03 -2.532964639222571350e+03 -1.362072968608549127e+04 -7.501285269293875899e+03 -1.063261051998539369e+04 -4.244926108119452692e+03 -7.505924425175998294e+03 -3.157949556924698754e+03 -1.417977439515363812e+03 -1.613009120503067788e+04 -2.045852202977273237e+03 -2.997361030407129147e+04 -2.204128818415566911e+03 -1.671428100972572111e+03 -1.464540557360681532e+03 -1.963858179083846380e+03 -2.113217191709987674e+04 -1.511328815954612401e+04 -6.703799178677999407e+03 -8.020975028324357481e+03 -1.584669725844179084e+03 -2.294639870315953885e+04 -2.380322033805696992e+04 -9.686459465859694319e+03 -1.439935772261161901e+03 -2.329300660956403135e+03 -2.349005198091352668e+03 -1.992771931058305199e+04 -9.189635978286612954e+03
2.939377611075112418e-01 2.998069213088757623e-01 2.389939946996843534e-01 2.708108271300347369e-01 2.592055257793254297e-01 2.651992808477533492e-01 3.199464527309590078e-01 2.629901735006611174e-01 2.692918286352073420e-01 2.844856205171932828e-01 2.914242045942723736e-01 2.691459647275509792e-01 2.609732044924823469e-01 2.876476976206577274e-01 3.206975316150518784e-01 2.752559187680445607e-01 2.818739156769826115e-01 2.865172273394304692e-01 3.403468676479805555e-01 3.010387795395674249e-01 2.820623855641137268e-01 2.911298021443955997e-01 2.798041451042502237e-01 2.984585993453145458e-01 2.635992947723245217e-01 3.178975267231229918e-01 2.923442174956563666e-01 2.255538253147376382e-01 2.542375417142647143e-01 3.142793351340956720e-01 2.674291165213611432e-01 2.792750925294907316e-01 2.871381795724055053e-01 2.664161295097022819e-01 3.156085152632234769e-01 2.677967830007181305e-01
2.067947514226767813e-01 2.784826159071918661e-01 2.426999506383531735e-01 2.407395869384662268e-01 2.423472867949143794e-01 2.406243111749329922e-01 2.327332483844732069e-01 1.879692067598572047e-01 2.292512019762750208e-01 2.455717702930273472e-01 2.251410483381844629e-01 2.210598085651434008e-01 2.553179491300677229e-01 2.143794916567216546e-01 2.463885204651045935e-01 2.277848717207801299e-01 2.354130914396312391e-01 2.646957629475115703e-01 1.891968645740630950e-01 2.227968022332317000e-01 2.412966243622754192e-01 2.316879932497881434e-01 2.446199731092057461e-01 2.216901562234921408e-01 2.444321973854857444e-01 2.246793272282832099e-01 2.021086924776563931e-01 2.245402029752616158e-01 2.419511888445112224e-01 2.146829129766129607e-01 2.322263161118994779e-01 2.360337265660011896e-01 2.590798293874251867e-01 2.491259707379327726e-01 2.038457902283061784e-01 2.045200192097233749e-01
1.957552745881942780e-01 1.692742216964101820e-01 1.910514737003257690e-01 1.818052317654376138e-01 1.995696587806552735e-01 2.152013474798123438e-01 1.847504599912145051e-01 2.062933180948172684e-01 1.944078232186755573e-01 1.902257282329258559e-01 1.897103905237109422e-01 2.182683466320016474e-01 1.765532944572819063e-01 2.110689649639227450e-01 1.846920630600736579e-01 1.680993341931161789e-01 1.900715131706750827e-01 1.705859319237912064e-01 1.919247467290103037e-01 2.004070032674841462e-01 1.726965457090242906e-01 1.819635006065308258e-01 1.716597642806033386e-01 1.814245855667851737e-01 1.988802281893503054e-01 1.989515667371053453e-01 2.159047940557426437e-01 2.145107947035358176e-01 2.013567372595720384e-01 1.829293936367163975e-01 1.962026770881782345e-01 2.003934644322821479e-01 1.846405680638442681e-01 1.951461887289442643e-01 1.988977511536222376e-01 1.991575429508419814e-01
3.035122128816177822e-01 2.524362410875222174e-01 3.272545809616367318e-01 3.066443541660613947e-01 2.988775286451049173e-01 2.789750604975013148e-01 2.625698388933532246e-01 3.427473016446643816e-01 3.070491461698420799e-01 2.797168809568534864e-01 2.937243565438322213e-01 2.915258800753040003e-01 3.071555519201680795e-01 2.869038457586978175e-01 2.482218848597698146e-01 3.288598753180591583e-01 2.926414797127110390e-01 2.782010777892667819e-01 2.785315210489460735e-01 2.757574149597167290e-01 3.039444443645866190e-01 2.952187039992854589e-01 3.039161175059406639e-01 2.984266588644081675e-01 2.930882796528394008e-01 2.584715793114884530e-01 2.896422959709445966e-01 3.353951770064649840e-01 3.024545321816519694e-01 2.881083582525750253e-01 3.041418902785612000e-01 2.842977164722259031e-01 2.691414229763249844e-01 2.893117110234206812e-01 2.816479433548481071e-01 3.285256548387165410e-01
1.094417727392496609e+01 1.197229408399733508e+01 6.980272772046984819e+00 1.037984186621164717e+01 7.463865273777782861e+00 4.989257050524074977e+00 4.147130376339735136e+00 3.354952121364763062e+00 7.029069471771715705e+00 3.588153922163857423e+00 4.524043166422884177e+00 3.283127700386075265e+00 9.468305866770208468e+00 3.527858434314066205e+00 4.256333685277646772e+00 2.023674126177540344e+01 3.550922625757957363e+00 1.027281468474543757e+01 3.419901998834978585e+00 4.631533732263449998e+00 1.312827318351240891e+01 1.349544027934681445e+01 1.306141315976294592e+01 3.681591302469739535e+00 4.055083695600330884e+00 4.795238045121020143e+00 3.433828711638757802e+00 1.325080349143095049e+01 5.253449901039736858e+00 3.517395284346337192e+00 3.346859842636533688e+00 6.139703799212627544e+00 9.313410175142395886e+00 8.830894771804452148e+00 3.011368151198327681e+00 3.508384442315644502e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.772240469677831033e-03 5.108041887330701768e-03 2.406129077377127529e-02 3.214840479128531613e-03 1.584440736965150908e-03 1.984636493727611264e-02 2.290344860352551415e-02 3.214340251169093415e-02 1.334919450106264102e-02 1.533532385910004077e-02 6.875388249125892470e-02 1.511102813751862006e-02 9.482158040645486188e-03 3.676093968845520199e-02 1.733464863090048227e-02 1.850937798093817794e-04 1.653585008842394302e-02 1.270578668773043147e-04 1.257647170279346527e-01 3.095202865614005410e-03 3.689237304772428373e-03 9.444628207632635311e-04 5.731823165236868932e-03 5.139034974945265455e-02 7.180662305602517233e-03 2.718134189675814466e-02 1.992336445263600750e-02 2.589411293610171996e-03 4.112363302618789358e-03 4.920063906274996929e-02 4.231590220796399571e-02 7.520839306092607775e-08 4.604509408826004222e-08 1.819455790278067366e-03 2.946325076646308036e-02 1.318026484758967609e-01
