# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 4.200000000000000000e+02 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 4.020000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 3.990000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 2.037000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 4.080000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 3.210000000000000000e+02 5.910000000000000000e+02 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.319559108029831577e+03 -1.375134124816330996e+03 -6.890253357536532349e+03 -1.604275434193410319e+03 -2.404258151209617608e+03 -6.811066687366979750e+03 -3.771152990703411888e+03 -8.125668816219140353e+03 -2.539561868827529906e+03 -1.366885109378386915e+04 -7.543316536724435537e+03 -1.065327977092729088e+04 -4.271849129188309234e+03 -7.531539395386911565e+03 -3.203986629280795569e+03 -1.430038852646474197e+03 -1.616157898417585966e+04 -2.055257502341214604e+03 -3.009302645315611153e+04 -2.216599799678745057e+03 -1.685995462217396152e+03 -1.478330248421430724e+03 -1.975738505786990345e+03 -2.121115935713545332e+04 -1.517941897348879320e+04 -6.719931433725955685e+03 -8.051198459436114717e+03 -1.592072685440854912e+03 -2.299136636714639462e+04 -2.385074820664013896e+04 -9.722114107872272143e+03 -1.454098217093641324e+03 -2.337631524732931211e+03 -2.356056300763797481e+03 -1.998394873919852034e+04 -9.243833278986456207e+03
2.928780843300429759e-01 3.005297770036957083e-01 2.360429108793134778e-01 2.709557842707233655e-01 2.587061742347976923e-01 2.650798741207024412e-01 3.191943082693202149e-01 2.608976751769636615e-01 2.681827046334662179e-01 2.829137998024725542e-01 2.880744876288220957e-01 2.672848320925829690e-01 2.596376220192040951e-01 2.866816294782362218e-01 3.208140056061810075e-01 2.728768453882702838e-01 2.823304340811729762e-01 2.859335257234731364e-01 3.388132699621488886e-01 2.994875677619217580e-01 2.815716610974494660e-01 2.921210015996686948e-01 2.822292817822204536e-01 2.971351801783892466e-01 2.616760774600608297e-01 3.162197717529764973e-01 2.915166961773307808e-01 2.271357482223731461e-01 2.525328648612350513e-01 3.130908242259347052e-01 2.661345182719391245e-01 2.863909802929714976e-01 2.890527406398081811e-01 2.667601749824173307e-01 3.162220453419618549e-01 2.664149912206592030e-01
2.044608923474100504e-01 2.775452608940571775e-01 2.495656537548850140e-01 2.406307302921212032e-01 2.411889270496426207e-01 2.432101797655416564e-01 2.348026185505351637e-01 1.890419600236647180e-01 2.298799841300855074e-01 2.473961646559351135e-01 2.300798291547544172e-01 2.226699956777305478e-01 2.567624908241173953e-01 2.151287748062964134e-01 2.481013065383062821e-01 2.289873209555833289e-01 2.363693795020422039e-01 2.646204081764779725e-01 1.901152396347720874e-01 2.233610396557013378e-01 2.445983818739475568e-01 2.354841363522922615e-01 2.437067519093213952e-01 2.245261444917968086e-01 2.475202750684757091e-01 2.269243571209909327e-01 2.017458719367116182e-01 2.254229573513976959e-01 2.459347179557849761e-01 2.158536193596798103e-01 2.346233546644878876e-01 2.369541030977458385e-01 2.615933917999545000e-01 2.493634632798029382e-01 2.035639198883010537e-01 2.065761207526598808e-01
1.964704226714132640e-01 1.678759566129383873e-01 1.938785099505930531e-01 1.816050567803723093e-01 2.001317991023385257e-01 2.156859131255579043e-01 1.848423013497939027e-01 2.058140448713671744e-01 1.953754150020876046e-01 1.913708151886788777e-01 1.925870827764364634e-01 2.189913423656701386e-01 1.770047333436881309e-01 2.099388397082945779e-01 1.826431414991529223e-01 1.697019329497583273e-01 1.900421152167231509e-01 1.706106737709097432e-01 1.924331875746322362e-01 2.016490142588404089e-01 1.718754833111837965e-01 1.817113592956437762e-01 1.691890714120475592e-01 1.817507410137515766e-01 2.000234754206210719e-01 2.009336346192126255e-01 2.171271435234702618e-01 2.124111353177656758e-01 2.028927464704887162e-01 1.831076805254334972e-01 1.977483258795232346e-01 1.879919054140552770e-01 1.847850162358769532e-01 1.947996918397647270e-01 1.994625853669268478e-01 1.987862896896137876e-01
3.061906006511336820e-01 2.540490054893087546e-01 3.205129254152084828e-01 3.068084286567830943e-01 2.999730996132212169e-01 2.760240329881979982e-01 2.611607718303506909e-01 3.442463199280044739e-01 3.065618962343606424e-01 2.783192203529133990e-01 2.892586004399869681e-01 2.910538298640163446e-01 3.065951538129904619e-01 2.882507560071728148e-01 2.484415463563597326e-01 3.284339007063880600e-01 2.912580712000617522e-01 2.788353923291391756e-01 2.786383028284467600e-01 2.755023783235365231e-01 3.019544737174192917e-01 2.906835027523952952e-01 3.048748948964106753e-01 2.965879343160623960e-01 2.907801720508423338e-01 2.559222365068199445e-01 2.896102883624873114e-01 3.350301591084635100e-01 2.986396707124912564e-01 2.879478758889519874e-01 3.014938011840497256e-01 2.886630111952273592e-01 2.645688513243604212e-01 2.890766698980149485e-01 2.807514494028102714e-01 3.282225983370671285e-01
1.105095111905299277e+01 1.208526488480771199e+01 6.990138892206780419e+00 1.041182397495025747e+01 7.466434894010049561e+00 5.020426524219228526e+00 4.164375352919533313e+00 3.382842786417100900e+00 7.052336117413401162e+00 3.594740861915717733e+00 4.555490461937555580e+00 3.289136830147589396e+00 9.640831517871527367e+00 3.574018794347113115e+00 4.241621733596542043e+00 2.033647403500443218e+01 3.571260382076559825e+00 1.034725820313284572e+01 3.464421564329212888e+00 4.623780068202774984e+00 1.336407410510935101e+01 1.333772219852799523e+01 1.304317989162653824e+01 3.692345725451945171e+00 4.071856583754867920e+00 4.792779450309597955e+00 3.481463538623375431e+00 1.328068465222698080e+01 5.253123976974843679e+00 3.537132618864939015e+00 3.379650188388968246e+00 6.421374893324655275e+00 9.201022033480663609e+00 8.795638408894363991e+00 3.030149840144832574e+00 3.530921681050961158e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.595607235802926523e-03 3.905392684627727491e-03 1.826063895902244744e-02 2.885465700479031368e-03 1.312276123418093911e-03 1.429118525219301439e-02 2.358519219788310708e-02 2.610583739302783576e-02 1.084852248357525382e-02 5.697226441541742951e-03 4.848547792830712466e-02 1.177608430148190111e-02 1.058978409445982850e-02 2.416545574336156216e-02 5.529514755215070299e-03 3.059023205018257859e-07 1.694918244722731088e-02 4.028895036468054924e-04 8.963510942962206463e-02 2.306336858573756771e-03 1.724316407360543344e-03 3.059023205018257859e-07 4.934639838373244304e-03 3.842339460586043087e-02 3.230027967487468944e-03 2.445133552560373527e-02 1.869968370418435832e-02 2.979162368421531606e-03 4.248105695853329235e-03 4.138731792853287544e-02 3.335578865991725012e-02 3.059023205018257859e-07 3.059023205018257859e-07 2.356323108370756824e-03 3.096466712550438941e-02 8.858205250046530255e-02
