# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 4.200000000000000000e+02 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 4.020000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 3.990000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 2.037000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 4.080000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 3.210000000000000000e+02 5.910000000000000000e+02 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.313939020790607628e+03 -1.397790195296841603e+03 -7.015828788417366013e+03 -1.597367395109675726e+03 -2.398078585179999209e+03 -6.777720930360094826e+03 -3.761269042562568302e+03 -8.096354901057382449e+03 -2.532964656613039551e+03 -1.362072966736429953e+04 -7.501285270194777695e+03 -1.063261043892850284e+04 -4.244926114192388923e+03 -7.505924460106472907e+03 -3.157949568850519427e+03 -1.417978978275007194e+03 -1.613009122039459180e+04 -2.045852219780507994e+03 -2.997361031070719764e+04 -2.204128824741408607e+03 -1.671428104349932710e+03 -1.464940254045690381e+03 -1.963858182130327805e+03 -2.113217183272070542e+04 -1.511328815017849774e+04 -6.703799163688790941e+03 -8.020975096889797896e+03 -1.584669723906728677e+03 -2.392262173091249861e+04 -2.380321997005240701e+04 -9.686459487170064676e+03 -1.439935754935021805e+03 -2.451480245441553052e+03 -2.349005184926172205e+03 -1.992771948429380427e+04 -9.189635972238364047e+03
2.939651540296209786e-01 3.005799095029535462e-01 2.464380798819336138e-01 2.708820543625766186e-01 2.592218576359290871e-01 2.651815774673921267e-01 3.199418685086669600e-01 2.630142939232562593e-01 2.692583648004433505e-01 2.844817008607288811e-01 2.914218374987836424e-01 2.691462401702069407e-01 2.609815854310681416e-01 2.876413630070846494e-01 3.207108016903976733e-01 2.752283578281116694e-01 2.818528998031958333e-01 2.865217555039547004e-01 3.403516431970007861e-01 3.010710167705085705e-01 2.820722742795023219e-01 2.911926528356064137e-01 2.798318702842933492e-01 2.984487632007184477e-01 2.635950810397185706e-01 3.179105365290237351e-01 2.923904071102270685e-01 2.255527562689692567e-01 2.595849616134639493e-01 3.142835049556841898e-01 2.674172638450048045e-01 2.792698148565153637e-01 2.961706649480144726e-01 2.664245845535173074e-01 3.156751204397394983e-01 2.677950977116284048e-01
2.067825564302420149e-01 2.809284670910474624e-01 2.359481513863418423e-01 2.406984200870654622e-01 2.423442556760179722e-01 2.406387911872951424e-01 2.327550031830668831e-01 1.879475310303627411e-01 2.292557239679541836e-01 2.455774374138315619e-01 2.251132724155759657e-01 2.210615020958446308e-01 2.553186145585527034e-01 2.143996864862458551e-01 2.463753202958499644e-01 2.277823743249572375e-01 2.354321479935198025e-01 2.647028085447063472e-01 1.891975459347703115e-01 2.227672461873159149e-01 2.412973910126258725e-01 2.328969733630605332e-01 2.446133916906856054e-01 2.216925993312128529e-01 2.444428497808414924e-01 2.246600432535029723e-01 2.021108858123141505e-01 2.245503151820672783e-01 2.388645102291059585e-01 2.146948029514280376e-01 2.322382193740211709e-01 2.360368163621576199e-01 2.474837819780000003e-01 2.491301093522393373e-01 2.038221755683395919e-01 2.045226249507375305e-01
1.957560627682227439e-01 1.724782513556691321e-01 1.865139104230111311e-01 1.818407857773719494e-01 1.995645589926728636e-01 2.151891258986452782e-01 1.847488253734415609e-01 2.063164254400698949e-01 1.944143872946199614e-01 1.902258915927438621e-01 1.897141314484328822e-01 2.182792041724702925e-01 1.765466342633807140e-01 2.110810490197951861e-01 1.846867486414434101e-01 1.680898650594210009e-01 1.900531521024168280e-01 1.705980072219738242e-01 1.919353151586853656e-01 2.004107430965006709e-01 1.726853234604080467e-01 1.813186916450477693e-01 1.716415614004032364e-01 1.814308027342943497e-01 1.988708836715603334e-01 1.989600321076380740e-01 2.159383964938551004e-01 2.145089172097520147e-01 1.983052593401843089e-01 1.829275639307652024e-01 1.962087379078336635e-01 2.003961123594515115e-01 1.833787466431706648e-01 1.951500900291379681e-01 1.988936156570047242e-01 1.991671116707587896e-01
3.034962267719142348e-01 2.460133720503299148e-01 3.310998583087133573e-01 3.065787397729859975e-01 2.988693276953801048e-01 2.789905054466674805e-01 2.625543029348246238e-01 3.427217496063111324e-01 3.070715239369825045e-01 2.797149701326957505e-01 2.937507586372075097e-01 2.915130535614781637e-01 3.071531657469985799e-01 2.868779014868743649e-01 2.482271293723089800e-01 3.288994027875100645e-01 2.926618001008675640e-01 2.781774287293651837e-01 2.785154957095434813e-01 2.757509939456748715e-01 3.039450112474638144e-01 2.945916821562853394e-01 3.039131766246176980e-01 2.984278347337743220e-01 2.930911855078795480e-01 2.584693881098352741e-01 2.895603105836036528e-01 3.353880113392114226e-01 3.032452688172457278e-01 2.880941281621225425e-01 3.041357788731404166e-01 2.842972564218754772e-01 2.729668064308148345e-01 2.892952160651054427e-01 2.816090883349161578e-01 3.285151656668752751e-01
1.094399171603641996e+01 1.271277918528894091e+01 6.803876635214936464e+00 1.037802638296406066e+01 7.463954600394414385e+00 4.989086785188105111e+00 4.147401427809906949e+00 3.355316455558579047e+00 7.029836915486935567e+00 3.587464077410683849e+00 4.524344832692319684e+00 3.283282440329480689e+00 9.467583191194330894e+00 3.527625322417272891e+00 4.257393027056892265e+00 2.024818307148043672e+01 3.551079820602599302e+00 1.027373606995133137e+01 3.419588722981083073e+00 4.631511579969497916e+00 1.312676556514027304e+01 1.354547620400562202e+01 1.306293629284928848e+01 3.681253142401299083e+00 4.054961235659694019e+00 4.795371850740511199e+00 3.433774043421936817e+00 1.325091874716810914e+01 5.205815867840932754e+00 3.516819420204202018e+00 3.346680034678553906e+00 6.140151285147816829e+00 8.727530622609970479e+00 8.831824973729917261e+00 3.012551259760713585e+00 3.508611745610323407e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.764797974095886762e-03 4.218224188843364142e-02 1.019275639455545363e-01 3.215828344545638116e-03 1.579381199500473143e-03 1.984630775448180395e-02 2.289224219833520951e-02 3.209816999586386638e-02 1.336305629030589553e-02 1.531026576813017924e-02 6.872829620889119029e-02 1.513447150581290028e-02 9.487933118375986574e-03 3.674639817122739294e-02 1.724788061220340618e-02 7.103884785104912702e-05 1.651922215974044664e-02 1.336958865189198512e-04 1.257956335809228554e-01 3.108692943351619182e-03 3.691654086347671577e-03 8.729189515853392600e-04 5.719542388201383568e-03 5.146280825087128086e-02 7.163118189944197092e-03 2.712221084845616026e-02 1.995605967411017215e-02 2.598379868824292512e-03 1.579417017823671054e-01 4.896870295983547783e-02 4.230987759877684329e-02 3.687045759847222278e-08 6.061609638216047813e-02 1.822447474361389621e-03 2.937193448566503481e-02 1.318823359412635288e-01
8.236849753838550170e-02 9.479076439186809717e-07 1.347592982815304552e-06 7.327593809227829491e-02 7.072317494643476365e-02 1.437852090588791487e-01 3.391450092547620976e-01 3.442041694765237692e-01 7.046857064824300909e-02 2.917430054100030867e-01 1.310548253665223262e-01 3.032853043848495189e-01 1.434977221778589163e-01 2.762944079001468101e-01 1.578885329169705809e-01 3.335617326671414667e-02 3.080351886166250441e-01 7.376646705692638251e-02 3.306181293382427500e-01 1.330668549196214190e-01 4.296798856538637523e-02 8.695685635486463672e-02 6.658217482048452152e-02 2.325136734826703522e-01 1.526419406620143360e-01 2.575011727462454547e-01 4.718107820567032373e-01 7.190078702564740853e-02 2.160514908450574284e-06 4.259128975987414023e-01 2.406721951627248945e-01 1.670425570073586219e-01 1.968860742847538395e-09 7.649871377424280472e-02 5.893646089995810966e-01 2.345925569106045161e-01
