# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 4.200000000000000000e+02 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 4.020000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 3.990000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 2.037000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 4.080000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 3.210000000000000000e+02 5.910000000000000000e+02 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.319559107985226092e+03 -1.375134125427640129e+03 -6.890253393764360226e+03 -1.604275442502902479e+03 -2.404258151413028827e+03 -6.811066687658560113e+03 -3.771152991706497232e+03 -8.125668810053519337e+03 -2.539561870305107732e+03 -1.366885109749468393e+04 -7.543316536458892188e+03 -1.065327976937295534e+04 -4.271849123485587370e+03 -7.531539396071659212e+03 -3.203986628361558360e+03 -1.430037431697086049e+03 -1.616157898893670608e+04 -2.055257505720242989e+03 -3.009302643552895461e+04 -2.216599799709990293e+03 -1.685995465113149294e+03 -1.478331914152000991e+03 -1.975738505282054575e+03 -2.121115934692764131e+04 -1.517941898104812935e+04 -6.719931434196628288e+03 -8.051198460852452627e+03 -1.592072685974606202e+03 -2.299136630605052414e+04 -2.385074821031042666e+04 -9.722114115409993246e+03 -1.454130609268250282e+03 -2.337658438604170442e+03 -2.356056301132440240e+03 -1.998394874010903004e+04 -9.243833282687348401e+03
2.928827027742499367e-01 3.005230525086824978e-01 2.360459714552462507e-01 2.709074589633313490e-01 2.587012547898625558e-01 2.650839015417894018e-01 3.191891156850837907e-01 2.608974206993119882e-01 2.681858784095977888e-01 2.829287893953062460e-01 2.880779028938958986e-01 2.672710076232680532e-01 2.596355947720706547e-01 2.867023831492644947e-01 3.208186362261022939e-01 2.727507207659081723e-01 2.823320688367794151e-01 2.859261126140465459e-01 3.388065131981650158e-01 2.994861236952371941e-01 2.815643158646814470e-01 2.919532732176238765e-01 2.822339822670609233e-01 2.971444649620171297e-01 2.616900133248742377e-01 3.162074476723796823e-01 2.915171689830671209e-01 2.271371698071351919e-01 2.525233457470250631e-01 3.130887903292911556e-01 2.661373968372284238e-01 2.845087412923011927e-01 2.887661244706059560e-01 2.667537267322000472e-01 3.162274297780410803e-01 2.664367620048780916e-01
2.044572595017703776e-01 2.775522542729091380e-01 2.495596512775456188e-01 2.406672884985597560e-01 2.411922634292394119e-01 2.432124248026058255e-01 2.348108703446202539e-01 1.890366135149965376e-01 2.298857727979482235e-01 2.473938941687509885e-01 2.300752762588289813e-01 2.226729569429118094e-01 2.567583549729050563e-01 2.151295589362656191e-01 2.480990742234760460e-01 2.288314069216781932e-01 2.363711748179530003e-01 2.646264007228882886e-01 1.901184405455164095e-01 2.233630843391619381e-01 2.445988426835028762e-01 2.357871126727129341e-01 2.437027771207908033e-01 2.245200849880291671e-01 2.475354428641268478e-01 2.269298783019311760e-01 2.017492604566201442e-01 2.254187833078892533e-01 2.459343004411662648e-01 2.158534813157456378e-01 2.346179767640142744e-01 2.383169889802740082e-01 2.609817294232111284e-01 2.493657808377735263e-01 2.035620772627453334e-01 2.065716686160951887e-01
1.964664817801340668e-01 1.678723069083630226e-01 1.938747825277374326e-01 1.815805832788618124e-01 2.001330276357747295e-01 2.156838496114466541e-01 1.848413933873521986e-01 2.058149282940137936e-01 1.953615385058309062e-01 1.913622400774266374e-01 1.925865324142255197e-01 2.190148238677084858e-01 1.770039350808612355e-01 2.099188168621614892e-01 1.826488131126084991e-01 1.700634518289809438e-01 1.900484877303054987e-01 1.706096123192621938e-01 1.924351701857450747e-01 2.016470596335935561e-01 1.718833963582284130e-01 1.816969379504812521e-01 1.691909955990927306e-01 1.817461014201736946e-01 2.000179187762670119e-01 2.009271536664984370e-01 2.171242869352682237e-01 2.124181177446320123e-01 2.029077745002669519e-01 1.831115583217906573e-01 1.977433355389803804e-01 1.872579154288363523e-01 1.850792312264527284e-01 1.948026248573261621e-01 1.994597556167134744e-01 1.987774073961216248e-01
3.061935559438455634e-01 2.540523863100452862e-01 3.205195947394706701e-01 3.068446692592470271e-01 2.999734541451233305e-01 2.760198240441581463e-01 2.611586205829438123e-01 3.442510374916776805e-01 3.065668102866230815e-01 2.783150763585160448e-01 2.892602884330495727e-01 2.910412115661115684e-01 3.066021151741631368e-01 2.882492410523083137e-01 2.484334764378131610e-01 3.283544204834327185e-01 2.912482686149621691e-01 2.788378743438029717e-01 2.786398760705735000e-01 2.755037323320073117e-01 3.019534450935871805e-01 2.905626761591819651e-01 3.048722450130555428e-01 2.965893486297799808e-01 2.907566250347319303e-01 2.559355203591907046e-01 2.896092836250445668e-01 3.350259291403435702e-01 2.986345793115416369e-01 2.879461700331726326e-01 3.015012908597768937e-01 2.899163542985883635e-01 2.651729148797302149e-01 2.890778675727002089e-01 2.807507373425001118e-01 3.282141619829050949e-01
1.105131624667593115e+01 1.208632986399832632e+01 6.990825354478594100e+00 1.041405061246386232e+01 7.466435112214691472e+00 5.019877102467487084e+00 4.164224132787178512e+00 3.383081546905791548e+00 7.052064201399243615e+00 3.594834044149263441e+00 4.555680887770251708e+00 3.289033512558151795e+00 9.640116800232236827e+00 3.574240159601334899e+00 4.241625792920261873e+00 2.036029888005372612e+01 3.571523301398250361e+00 1.034825376616879034e+01 3.464508105535896387e+00 4.623845501971775462e+00 1.336754446417413256e+01 1.333062147610935355e+01 1.304328535364384223e+01 3.692200555404141937e+00 4.072304439590613612e+00 4.792872361404471704e+00 3.481255445274051397e+00 1.328120860898940414e+01 5.251400256066272476e+00 3.536670010783471430e+00 3.380553326418951787e+00 6.369831053394874765e+00 9.351253349321133612e+00 8.794828050896784433e+00 3.030431318202841062e+00 3.530830755083540051e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.595511997901828960e-03 3.904910103006720926e-03 1.825862804072456158e-02 2.885247061354017425e-03 1.312273449779835207e-03 1.429363722369716462e-02 2.358839767333003462e-02 2.610058038174345452e-02 1.084604878382196963e-02 5.699252577625965425e-03 4.847967823439464780e-02 1.177969817032655138e-02 1.058985321123652110e-02 2.417967688174231869e-02 5.530888163035563646e-03 3.059023205018257859e-07 1.694054057245228395e-02 4.028605300710938453e-04 8.965776052476616409e-02 2.307331998037162601e-03 1.724137354475410982e-03 2.770317735704236702e-08 4.935908325358163290e-03 3.841679828380662604e-02 3.231551256677927652e-03 2.445279686263377925e-02 1.869747394503399121e-02 2.979152889865500833e-03 4.252283526398612130e-03 4.138442833126287218e-02 3.335949519716208123e-02 3.059023205018257859e-07 3.059023205018257859e-07 2.354768306129407553e-03 3.095615195810927367e-02 8.858220438274541642e-02
8.670219250263336286e-02 6.735047972194518895e-02 1.480685194780693159e-01 7.321534100591350902e-02 6.873555850479730334e-02 1.937731668296341914e-01 3.391040722236177696e-01 3.951427193879636368e-01 9.125097235135583296e-02 4.241343845314213823e-01 2.558565255150420104e-01 3.459247696014755014e-01 1.467130562269382821e-01 3.826381830411095808e-01 2.447678250410210421e-01 5.602351519575316657e-02 3.084061817198633371e-01 7.319758431818415567e-02 5.286548158138352216e-01 1.850998697258193215e-01 5.938907289505169357e-02 7.374910908788337438e-02 7.868221836809878578e-02 3.334311202425513376e-01 2.392324484139005114e-01 2.848273931771205247e-01 4.920442382308574669e-01 6.979386211172190768e-02 2.044645081736759240e-01 4.937133004471502828e-01 3.151571118662098714e-01 1.231856153713083851e-01 7.231059857065913477e-02 7.617176773519648836e-02 5.829982157805845278e-01 4.529968101662277813e-01
